T,X_SI_FCC_A1,X_SI_LIQUID
850.1497982085,0.01488551278280571,0.12070131329646805
850.2497982085,0.014866083241192844,0.12057434323183377
850.3497982085,0.014846658280697303,0.12044733694001891
850.6497982085,0.014788410858671433,0.12006610043639661
851.0,0.014720468380591848,0.1196206543725863
852.0,0.014526766360641107,0.11834622164533072
853.0,0.014333517671759102,0.1170681196450188
854.0,0.014140719574707503,0.11578632165887669
855.0,0.013948369324260522,0.11450080089719639
856.0,0.013756464168878603,0.11321153049927184
857.0,0.013565001350380511,0.11191848353969149
858.0,0.01337397810361181,0.11062163303497825
859.0,0.01318339165610677,0.10932095195058146
860.0,0.012993239227747085,0.10801641320825142
861.0,0.01280351803041095,0.10670798969376818
862.0,0.01261422526762249,0.1053956542651103
863.0,0.012425358134189884,0.10407937976099968
864.0,0.012236913815839173,0.10275913900988666
865.0,0.012048889488846911,0.10143490483940401
866.0,0.011861282319658729,0.1001066500862392
867.0,0.011674089464507889,0.09877434760651795
868.0,0.011487308069026137,0.09743797028667556
869.0,0.011300935267846765,0.09609749105482938
870.0,0.011114968184204257,0.09475288289270468
871.0,0.01092940392952473,0.09340411884809147
872.0,0.010744239603011208,0.09205117204787974
873.0,0.010559472291222354,0.09069401571168209
874.0,0.010375099067645362,0.08933262316607413
875.0,0.010191116992258558,0.0879669678594396
876.0,0.01000752311109278,0.08659702337750026
877.0,0.009824314455782308,0.08522276345949692
878.0,0.009641488043107077,0.08384416201505183
879.0,0.009459040874534893,0.08246119314178926
880.0,0.009276969935747769,0.08107383114363975
881.0,0.009095272196168963,0.07968205054995209
882.0,0.008913944608477678,0.07828582613535613
883.0,0.008732984108120082,0.07688513294045604
884.0,0.008552387612809745,0.0754799462933276
885.0,0.008372152022025259,0.0740702418319009
886.0,0.008192274216495616,0.07265599552718638
887.0,0.008012751057684123,0.07123718370743773
888.0,0.007833579387259012,0.06981378308320337
889.0,0.007654756026563025,0.06838577077336315
890.0,0.0074762777760707284,0.06695312433210561
891.0,0.007298141414842769,0.06551582177688915
892.0,0.007120343699966058,0.06407384161755883
893.0,0.006942881366000342,0.06262716288624534
894.0,0.0067657511244049885,0.061175765168575584
895.0,0.006588949662964258,0.05971962863584571
896.0,0.006412473645204888,0.05825873407832657
897.0,0.006236319709809619,0.05679306293971418
898.0,0.006060484470020667,0.0553225973527019
899.0,0.0058849645130397065,0.05384732017574215
900.0,0.005709756399420273,0.05236721503097587
901.0,0.005534856662454796,0.05088226634337219
902.0,0.005360261807557047,0.04939245938108462
903.0,0.005185968311637227,0.04789778029702486
904.0,0.005011972622473916,0.046398216171688024
905.0,0.004838271158078869,0.04489375505720749
906.0,0.004664860306061568,0.043384386022700644
907.0,0.004491736422984166,0.041870099200826426
908.0,0.00431889583371682,0.040350885835638894
909.0,0.004146334830788782,0.0388267383316936
910.0,0.003974049673735045,0.03729765030439412
911.0,0.0038020365884429727,0.03576361663160681
912.0,0.0036302917664951294,0.03422463350649436
913.0,0.003458811364512131,0.032680698491582394
914.0,0.0032875915034942743,0.031131810574019012
915.0,0.003116628268162245,0.029577970222005374
916.0,0.0029459177062915246,0.02801917944230247
917.0,0.0027754558280806553,0.02645544183917194
918.0,0.002605238605464827,0.024886762673827383
919.0,0.0024352619714828527,0.02331314892541122
920.0,0.0022655218196228366,0.0217346093527009
921.0,0.002096014003179603,0.020151154556797626
922.0,0.0019267343346154565,0.018562797044645637
923.0,0.0017576785849284819,0.016969551293334887
924.0,0.00158884248302581,0.015371433815087
925.0,0.001420221715109207,0.013768463222870038
926.0,0.0012518119240667743,0.012160660296504578
927.0,0.0010836087088767564,0.010548048049185332
928.0,0.0009156076240230874,0.00893065179429529
929.0,0.0007478041789241706,0.007308499212391172
930.0,0.0005801938373760545,0.005681620418233922
