nominal_wt_percent_Si,nominal_x_Si,liquidus_T_K,x_Si_FCC_A1_at_liquidus,wt_percent_Si_FCC_A1_at_liquidus,partition_coefficient_x_basis,equilibrium_eutectic_fraction_mole_lever_rule,equilibrium_eutectic_fraction_weight_lever_rule
3.5,0.0336705732071682,912.359231639558,0.0035686603493883056,0.37141311368906804,0.10598751400610447,0.17752604368321223,0.1781573257665054
4.5,0.0433077834729282,906.0506647052673,0.004656082165086698,0.4845664417595445,0.10751144001625543,0.26860138610823786,0.26945043097208893
5.5,0.05295258637192906,899.6048973985435,0.0057789445371691445,0.6013970267469954,0.10913432058972378,0.3597484818366833,0.36074353617767246
6.5,0.06260499088044022,893.0153008426075,0.006940168630838699,0.7222077498812057,0.11085647539015979,0.4509674156977458,0.452036641383256
7.5,0.07226500598888613,886.2758974617434,0.00814270894114918,0.8473048085145932,0.11267845106664037,0.5422582726543935,0.5433297465888395
