T_K,x_Si_FCC_A1,x_Si_LIQUID,wt_percent_Si_FCC_A1,wt_percent_Si_LIQUID,H_FCC_A1_J_per_mol,H_LIQUID_J_per_mol,KKS_f0_FCC_A1_J_per_mol,KKS_f0_LIQUID_J_per_mol,common_tangent_max_residual_J_per_mol
850.1497982085,0.01488551278280571,0.12070131329646805,1.5485128053721935,12.502242528422949,487657.184521307,91075.4897998672,243828.5922606535,45537.7448999336,5.602487362921238e-10
850.2497982085,0.014866083241192844,0.12057434323183377,1.5464928141796916,12.48915553128021,488334.3691936368,91136.60977139123,244167.1845968184,45568.304885695616,7.275957614183426e-12
850.3497982085,0.014846658280697303,0.12044733694001891,1.5444732960542245,12.476064664781271,489013.17773420404,91197.88580599653,244506.58886710202,45598.942902998264,1.4551915228366852e-11
850.6497982085,0.014788410858671433,0.12006610043639661,1.538417577270294,12.436768820642628,491059.40511816356,91382.65614239761,245529.70255908178,45691.328071198805,2.7284841053187847e-10
851.0,0.014720468380591848,0.1196206543725863,1.5313538712820043,12.39085304891659,493466.8141852116,91600.15055974179,246733.4070926058,45800.07527987089,5.056790541857481e-10
852.0,0.014526766360641107,0.11834622164533072,1.5112152364280362,12.259477636992749,500454.69133342186,92232.1310959519,250227.34566671093,46116.06554797595,1.4551915228366852e-11
853.0,0.014333517671759102,0.1170681196450188,1.4911234151779713,12.12771028209055,507615.6237888513,92880.78503289558,253807.81189442566,46440.39251644779,9.094947017729282e-12
854.0,0.014140719574707503,0.11578632165887669,1.4710781249570886,11.99554810953019,514956.1156609965,93546.763368562,257478.05783049826,46773.381684281,7.275957614183426e-12
855.0,0.013948369324260522,0.11450080089719639,1.451079082545076,11.862988235167986,522483.0021952461,94230.75058435615,261241.50109762306,47115.375292178076,2.1827872842550278e-11
856.0,0.013756464168878603,0.11321153049927184,1.4311260040421574,11.73002776599538,530203.4711390481,94933.46681159087,265101.73556952405,47466.733405795436,7.275957614183426e-12
857.0,0.013565001350380511,0.11191848353969149,1.4112186048350488,11.596663800774982,538125.0857843288,95655.67016803667,269062.5428921644,47827.835084018334,1.2732925824820994e-11
858.0,0.01337397810361181,0.11062163303497825,1.391356599562535,11.462893430712734,546255.8098417085,96398.1592803125,273127.90492085426,48199.07964015625,3.456079866737127e-11
859.0,0.01318339165610677,0.10932095195058146,1.3715397020803612,11.328713740166753,554604.0343188036,97161.7760095911,277302.0171594018,48580.88800479555,2.000888343900442e-11
860.0,0.012993239227747085,0.10801641320825142,1.3517676254257875,11.194121807395987,563178.6065934218,97947.40839997976,281589.3032967109,48973.70419998988,2.7284841053187844e-11
861.0,0.01280351803041095,0.10670798969376818,1.332040081781139,11.059114705345813,571988.8618939299,98755.99387110757,285994.43094696495,49377.99693555378,2.7284841053187844e-11
862.0,0.01261422526762249,0.1053956542651103,1.3123567824373885,10.923689502479482,581044.6574221206,99588.52267879834,290522.3287110603,49794.26133939917,2.9103830456733704e-11
863.0,0.012425358134189884,0.10407937976099968,1.292717437756558,10.787843263648787,590356.4093815823,100446.0416705019,295178.20469079114,50223.02083525095,2.5465851649641987e-11
864.0,0.012236913815839173,0.10275913900988666,1.273121757133672,10.651573051010724,599935.1332040259,101329.65836515547,299967.56660201296,50664.829182577734,2.000888343900442e-11
865.0,0.012048889488846911,0.10143490483940401,1.2535694489585822,10.514875924992994,609792.4873003458,102240.54539063369,304896.2436501729,51120.272695316846,4.18367562815547e-11
866.0,0.011861282319658729,0.1001066500862392,1.2340602205763276,10.377748945303333,619940.8207027359,103179.9453159275,309970.41035136796,51589.97265796375,4.547473508864641e-11
867.0,0.011674089464507889,0.09877434760651795,1.2145937782474847,10.240189171992144,630393.2250069346,104149.17591956988,315196.6125034673,52074.58795978494,3.8198777474462986e-11
868.0,0.011487308069026137,0.09743797028667556,1.1951698271077207,10.102193666566208,641163.591074742,105149.63594097704,320581.795537371,52574.81797048852,5.0931703299283975e-11
869.0,0.011300935267846765,0.09609749105482938,1.1757880711265238,9.963759493154766,652266.6710136863,106182.81136713877,326133.33550684317,53091.405683569385,8.36735125631094e-11
870.0,0.011114968184204257,0.09475288289270468,1.1564482130655809,9.824883719733512,663718.1460155963,107250.28231367428,331859.0730077982,53625.14115683714,8.003553375601768e-11
871.0,0.01092940392952473,0.09340411884809147,1.1371499544361918,9.685563419404177,675534.7007109221,108353.73056688071,337767.35035546107,54176.865283440355,9.094947017729282e-11
872.0,0.010744239603011208,0.09205117204787974,1.1178929954561407,9.54579567173471,687734.1047805633,109494.94786202184,343867.05239028163,54747.47393101092,1.127773430198431e-10
873.0,0.010559472291222354,0.09069401571168209,1.0986770350058868,9.405577564160962,700335.3026654065,110675.8449830871,350167.65133270324,55337.92249154355,1.3096723705530167e-10
874.0,0.010375099067645362,0.08933262316607413,1.0795017705841394,9.264906193453163,713358.5123266835,111898.46178070127,356679.25616334175,55949.230890350635,1.6007106751203537e-10
875.0,0.010191116992258558,0.0879669678594396,1.0603668982623615,9.123778667245817,726825.3341410039,113164.97821812709,363412.66707050195,56582.48910906354,1.964508555829525e-10
876.0,0.01000752311109278,0.08659702337750026,1.0412721126391413,8.982192105639442,740758.8711638739,114477.72657053027,370379.43558193697,57238.863285265135,2.4374458007514477e-10
877.0,0.009824314455782308,0.08522276345949692,1.0222171067934729,8.84014364287063,755183.8621715743,115839.20492050464,377591.93108578713,57919.60246025232,2.9467628337442875e-10
878.0,0.009641488043107077,0.08384416201505183,1.0032015722371244,8.69763042905376,770126.8290938522,117252.09211342581,385063.4145469261,58626.046056712905,3.4924596548080444e-10
879.0,0.009459040874534893,0.08246119314178926,0.984225198867006,8.554649632002223,785616.2406861213,118719.26436017665,392808.12034306064,59359.63218008832,4.329194780439139e-10
880.0,0.009276969935747769,0.08107383114363975,0.9652876749158769,8.411198439121671,801682.6945684198,120243.81370299454,400841.3472842099,60121.90685149727,5.093170329928398e-10
881.0,0.009095272196168963,0.07968205054995209,0.9463886869031262,8.267274059388098,818359.1200800748,121829.06859288867,409179.5600400374,60914.53429644433,6.402842700481415e-10
882.0,0.008913944608477678,0.07828582613535613,0.9275279195842603,8.122873725404991,835681.004782144,123478.61686587552,417840.502391072,61739.30843293776,7.748894859105349e-10
883.0,0.008732984108120082,0.07688513294045604,0.9087050559000087,7.9779946955478485,853686.6478867311,125196.33145066675,426843.32394336554,62598.165725333376,9.604264050722122e-10
884.0,0.008552387612809745,0.0754799462933276,0.8899197769243209,7.8326342561934466,872417.4444239701,126986.39919435447,436208.72221198503,63493.199597177234,1.178705133497715e-09
885.0,0.008372152022025259,0.0740702418319009,0.8711717618120657,7.686789724042337,891918.2045850323,128853.3532563096,445959.10229251615,64426.6766281548,1.4624674804508686e-09
886.0,0.008192274216495616,0.07265599552718638,0.8524606877454551,7.540458448530307,912237.5134292231,130802.1095965323,456118.75671461155,65401.05479826615,1.8080754671245811e-09
887.0,0.008012751057684123,0.07123718370743773,0.8337862298803084,7.393637814338608,933428.1370342684,132838.00817511606,466714.0685171342,66419.00408755803,2.23008100874722e-09
888.0,0.007833579387259012,0.06981378308320337,0.8151480612909285,7.246325243998035,955547.4822409182,134966.8595881672,477773.7411204591,67483.4297940836,2.7830537874251604e-09
889.0,0.007654756026563025,0.06838577077336315,0.7965458529148686,7.098518200596941,978658.1184267026,137194.99799580744,489329.0592133513,68597.49899790372,3.539753379300237e-09
890.0,0.0074762777760707284,0.06695312433210561,0.7779792734964146,6.950214190588716,1002828.3712987852,139529.34135555354,501414.1856493926,69764.67067777677,4.452886059880257e-09
891.0,0.007298141414842769,0.06551582177688915,0.759447989529746,6.8014107667032775,1028133.0005750889,141977.46016511216,514066.50028754445,70988.73008255608,1.8189894035458565e-11
892.0,0.007120343699966058,0.06407384161755883,0.7409516652006293,6.652105530980491,1054653.9757152726,144547.65615067145,527326.9878576363,72273.82807533572,7.275957614183426e-12
893.0,0.006942881366000342,0.06262716288624534,0.7224899623287672,6.5022961378869795,1082481.3666580343,147249.05262158628,541240.6833290171,73624.52631079314,1.4551915228366852e-11
894.0,0.0067657511244049885,0.061175765168575584,0.7040625403080883,6.351980297571206,1111714.3699649402,150091.69855956928,555857.1849824701,75045.84927978464,7.275957614183426e-12
895.0,0.006588949662964258,0.05971962863584571,0.6856690560468721,6.2011557792208825,1142462.4950065908,153086.6889421452,571231.2475032954,76543.3444710726,1.4551915228366852e-11
896.0,0.006412473645204888,0.05825873407832657,0.6673091639070692,6.049820414540336,1174846.9400905175,156246.30433287696,587423.4700452588,78123.15216643848,1.4551915228366852e-11
897.0,0.006236319709809619,0.05679306293971418,0.6489825156431952,5.8979721013493585,1209002.1949872428,159584.17343636032,604501.0974936214,79792.08671818016,1.4551915228366852e-11
898.0,0.006060484470020667,0.0553225973527019,0.6306887603401723,5.745608807301174,1245077.9145352088,163115.46315012415,622538.9572676044,81557.73157506208,1.0913936421275139e-11
899.0,0.0058849645130397065,0.05384732017574215,0.6124275443508019,5.592728573726769,1283241.118372571,166857.1016972002,641620.5591862855,83428.5508486001,1.4551915228366852e-11
900.0,0.005709756399420273,0.05236721503097587,0.5941985112324467,5.43932951960338,1323678.7850035294,170828.04175796302,661839.3925017647,85414.02087898151,1.4551915228366852e-11
901.0,0.005534856662454796,0.05088226634337219,0.5760013016831438,5.285409845651762,1366600.925210607,175049.5722242809,683300.4626053035,87524.78611214046,1.0913936421275139e-11
902.0,0.005360261807557047,0.04939245938108462,0.5578355534772389,5.130967838562988,1412244.2414352426,179545.6893911647,706122.1207176213,89772.84469558235,7.275957614183426e-12
903.0,0.005185968311637227,0.04789778029702486,0.5397009014002481,4.976001875355037,1460876.507743971,184343.541240666,730438.2538719855,92171.770620333,7.275957614183426e-12
904.0,0.005011972622473916,0.046398216171688024,0.5215969771833877,4.82051042786288,1512801.8415390474,189473.9621794058,756400.9207695237,94736.9810897029,2.1827872842550278e-11
905.0,0.004838271158078869,0.04489375505720749,0.5035234094373536,4.664492067359875,1568367.086269702,194972.12046977394,784183.543134851,97486.06023488697,2.1827872842550278e-11
906.0,0.004664860306061568,0.043384386022700644,0.48547982358607117,4.5079454693170575,1627969.5882498808,200878.30707140182,813984.7941249404,100439.15353570091,7.275957614183426e-12
907.0,0.004491736422984166,0.041870099200826426,0.46746584179943756,4.350869418292236,1692066.736256155,207238.90328898185,846033.3681280775,103619.45164449092,7.275957614183426e-12
908.0,0.00431889583371682,0.040350885835638894,0.4494810829261015,4.193262812957795,1761187.7483708435,214107.57636771596,880593.8741854217,107053.78818385798,2.5465851649641987e-11
909.0,0.004146334830788782,0.0388267383316936,0.4315251624257933,4.0351246712628965,1835948.3489265414,221546.7682439144,917974.1744632707,110773.3841219572,3.2741809263825417e-11
910.0,0.003974049673735045,0.03729765030439412,0.4135976923011886,3.8764541357289195,1917069.1975301616,229629.56488471007,958534.5987650808,114814.78244235503,4.729372449219226e-11
911.0,0.0038020365884429727,0.03576361663160681,0.3956982810297637,3.7172504788812106,2005399.2390311626,238442.06477960024,1002699.6195155813,119221.03238980012,1.0913936421275138e-10
912.0,0.0036302917664951294,0.03422463350649436,0.37782653349524975,3.5575131088121967,2101945.578834498,248086.40932469448,1050972.789417249,124043.20466234724,2.0736479200422764e-10
913.0,0.003458811364512131,0.032680698491582394,0.35998205091908386,3.3972415748774756,2207912.114976671,258684.70144152487,1103956.0574883355,129342.35072076244,4.074536263942718e-10
914.0,0.0032875915034942743,0.031131810574019012,0.34216443079172654,3.23643557352091,2324750.075245178,270384.13177332777,1162375.037622589,135192.06588666388,7.49423634260893e-10
915.0,0.003116628268162245,0.029577970222005374,0.324373266803878,3.075094954226608,2454224.971242592,283363.7701192769,1227112.485621296,141681.88505963844,1.4733814168721437e-09
916.0,0.0029459177062915246,0.02801917944230247,0.3066081487770322,2.9132197255880854,2598506.547414093,297843.68934196216,1299253.2737070464,148921.84467098108,7.275957614183426e-12
917.0,0.0027754558280806553,0.02645544183917194,0.2888686625975496,2.750810061531958,2760291.4981456683,314097.41307390714,1380145.7490728342,157048.70653695357,1.0913936421275139e-11
918.0,0.002605238605464827,0.024886762673827383,0.27115439014503256,2.5878663076003896,2942973.7800945803,332469.19120298984,1471486.8900472901,166234.59560149492,3.637978807091713e-12
919.0,0.0024352619714828527,0.02331314892541122,0.253464909226252,2.424388987397877,3150885.544114075,353398.4385908754,1575442.7720570376,176699.2192954377,1.4551915228366852e-11
920.0,0.0022655218196228366,0.0217346093527009,0.23579979350685001,2.2603788091198145,3389645.385676581,377455.05954404274,1694822.6928382905,188727.52977202137,2.1827872842550278e-11
921.0,0.002096014003179603,0.020151154556797626,0.21815861244426119,2.0958366721893,3666674.156167803,405391.7686662564,1833337.0780839014,202695.8843331282,9.094947017729282e-11
922.0,0.0019267343346154565,0.018562797044645637,0.20054093122097427,1.9307636739865128,3991980.5944243874,438223.78067672235,1995990.2972121937,219111.89033836118,3.783497959375381e-10
923.0,0.0017576785849284819,0.016969551293334887,0.18294631067857325,1.7651611166659003,4379397.172193477,477354.1672588287,2189698.5860967385,238677.08362941435,7.275957614183426e-12
924.0,0.00158884248302581,0.015371433815087,0.16537430725228908,1.5990305140508976,4848598.937141326,524778.6365365217,2424299.468570663,262389.31826826086,7.275957614183426e-12
925.0,0.001420221715109207,0.013768463222870038,0.14782447290682843,1.432373598600636,5428552.450405317,583435.372860013,2714276.2252026587,291717.6864300065,1.0913936421275139e-11
926.0,0.0012518119240667743,0.012160660296504578,0.13029635507283274,1.2651923284344413,6163734.914356816,657835.8682564697,3081867.457178408,328917.93412823486,1.4551915228366852e-11
927.0,0.0010836087088767564,0.010548048049185332,0.11278949658459202,1.0974888944063577,7126120.554226818,755280.7499070197,3563060.277113409,377640.37495350983,2.5465851649641987e-11
928.0,0.0009156076240230874,0.00893065179429529,0.09530343561897438,0.9292657272169744,8440314.503246633,888409.2124017105,4220157.251623317,444204.6062008552,3.4560798667371273e-10
929.0,0.0007478041789241706,0.007308499212391172,0.07783770563572798,0.7605255045500338,10342422.616547609,1081170.4225173797,5171211.308273804,540585.2112586899,7.275957614183426e-12
930.0,0.0005801938373760545,0.005681620418233922,0.06039183531927554,0.5912711582207348,13340710.245140828,1385119.7923857078,6670355.122570414,692559.8961928539,3.2014213502407074e-10
